Matt
Tim
Loremaster
April
Hermie
Holly
Jen
Dorsio
Jason      
Rachel     
Galloran   
Nedwin     
Jasher     
Ferrin     
Maldor     
Farfalee   
Aram       
Drake      
Tark       
Corinne    
Nia        
Copernum   
Maumet     
Wanderer   
Darian     
Bactrus    
Nollin     
Io         
Heg        
Naman      
Groddic    
Bat        
Thag       
Kabal      
Amar       
Kerick     
Nicholas   
Del        
Zokar      
Kalia      
Ulani      
Fet        
Zuza       
Ux         
Sharmaine  
Morley     
Dolan      
Orruck     
Brin       
Bahootsa   
Esmira     
Eldrin     
Bartley    
